"X.1","X","book_id","title","authors","language_code","books_count","goodreads_book_id","average_rating","ratings_count","image_url","small_image_url"
0,0,1,"The Hunger Games","Suzanne Collins","en",272,2767052,4.34,4780653,"https://images.gr-assets.com/books/1447303603m/2767052.jpg","https://images.gr-assets.com/books/1447303603s/2767052.jpg"
1,1,2,"Harry Potter and the Sorcerer's Stone","J.K. Rowling, Mary GrandPr","en",491,3,4.44,4602479,"https://images.gr-assets.com/books/1474154022m/3.jpg","https://images.gr-assets.com/books/1474154022s/3.jpg"
2,2,3,"Twilight","Stephenie Meyer","en",226,41865,3.57,3866839,"https://images.gr-assets.com/books/1361039443m/41865.jpg","https://images.gr-assets.com/books/1361039443s/41865.jpg"
3,3,4,"To Kill a Mockingbird","Harper Lee","en",487,2657,4.25,3198671,"https://images.gr-assets.com/books/1361975680m/2657.jpg","https://images.gr-assets.com/books/1361975680s/2657.jpg"
4,4,5,"The Great Gatsby","F. Scott Fitzgerald","en",1356,4671,3.89,2683664,"https://images.gr-assets.com/books/1490528560m/4671.jpg","https://images.gr-assets.com/books/1490528560s/4671.jpg"
5,5,6,"The Fault in Our Stars","John Green","en",226,11870085,4.26,2346404,"https://images.gr-assets.com/books/1360206420m/11870085.jpg","https://images.gr-assets.com/books/1360206420s/11870085.jpg"
6,6,7,"The Hobbit","J.R.R. Tolkien","en",969,5907,4.25,2071616,"https://images.gr-assets.com/books/1372847500m/5907.jpg","https://images.gr-assets.com/books/1372847500s/5907.jpg"
7,7,8,"The Catcher in the Rye","J.D. Salinger","en",360,5107,3.79,2044241,"https://images.gr-assets.com/books/1398034300m/5107.jpg","https://images.gr-assets.com/books/1398034300s/5107.jpg"
8,8,9,"Angels","Dan Brown","en",311,960,3.85,2001311,"https://images.gr-assets.com/books/1303390735m/960.jpg","https://images.gr-assets.com/books/1303390735s/960.jpg"
9,9,10,"Pride and Prejudice","Jane Austen","en",3455,1885,4.24,2035490,"https://images.gr-assets.com/books/1320399351m/1885.jpg","https://images.gr-assets.com/books/1320399351s/1885.jpg"
10,10,11,"The Kite Runner","Khaled Hosseini","en",283,77203,4.26,1813044,"https://images.gr-assets.com/books/1484565687m/77203.jpg","https://images.gr-assets.com/books/1484565687s/77203.jpg"
11,11,12,"Divergent","Veronica Roth","en",210,13335037,4.24,1903563,"https://images.gr-assets.com/books/1328559506m/13335037.jpg","https://images.gr-assets.com/books/1328559506s/13335037.jpg"
12,12,13,"1984","George Orwell, Erich Fromm, Cel","en",995,5470,4.14,1956832,"https://images.gr-assets.com/books/1348990566m/5470.jpg","https://images.gr-assets.com/books/1348990566s/5470.jpg"
13,13,14,"Animal Farm","George Orwell","en",896,7613,3.87,1881700,"https://images.gr-assets.com/books/1424037542m/7613.jpg","https://images.gr-assets.com/books/1424037542s/7613.jpg"
14,14,15,"The Diary of a Young Girl","Anne Frank, Eleanor Roosevelt, B.M. Mooyaart","en",710,48855,4.1,1972666,"https://images.gr-assets.com/books/1358276407m/48855.jpg","https://images.gr-assets.com/books/1358276407s/48855.jpg"
15,15,16,"The Girl with the Dragon Tattoo","Stieg Larsson, Reg Keeland","en",274,2429135,4.11,1808403,"https://images.gr-assets.com/books/1327868566m/2429135.jpg","https://images.gr-assets.com/books/1327868566s/2429135.jpg"
16,16,17,"Catching Fire","Suzanne Collins","en",201,6148028,4.3,1831039,"https://images.gr-assets.com/books/1358273780m/6148028.jpg","https://images.gr-assets.com/books/1358273780s/6148028.jpg"
17,17,18,"Harry Potter and the Prisoner of Azkaban","J.K. Rowling, Mary GrandPr","en",376,5,4.53,1832823,"https://images.gr-assets.com/books/1499277281m/5.jpg","https://images.gr-assets.com/books/1499277281s/5.jpg"
