"user_id","freq_of_books_read"
"32",101
"34",77
"53",36
"70",52
"71",79
"86",54
"98",69
"103",79
"106",46
"172",74
"245",94
"252",91
"301",86
"308",55
"344",77
"380",64
"391",52
"398",104
"412",92
"421",106
"431",105
"459",92
"485",90
"503",92
"516",84
"520",113
"523",93
"539",78
"548",70
"584",83
"592",100
"596",72
"621",66
"644",77
"647",98
"689",84
"698",89
"716",92
"725",143
"735",96
"741",64
"768",84
"809",102
"875",87
"898",89
"901",128
"919",113
"937",108
"943",93
"950",73
"968",91
"994",95
"1024",100
"1063",106
"1087",86
"1092",102
"1105",85
"1133",87
"1204",66
"1240",40
"1246",85
"1272",69
"1280",111
"1300",99
"1305",91
"1318",95
"1393",123
"1422",98
"1436",71
"1439",89
"1450",62
"1477",113
"1495",56
"1508",105
"1548",52
"1554",106
"1557",100
"1567",101
"1616",84
"1624",93
"1665",102
"1669",122
"1675",85
"1708",82
"1710",141
"1723",81
"1758",117
"1762",130
"1774",75
"1805",51
"1813",121
"1823",80
"1835",104
"1849",81
"1851",102
"1865",79
"1874",122
"1887",127
"1891",94
"1894",79
"1895",117
"1903",80
"1907",89
"1930",93
"1960",93
"1965",89
"1992",83
"2030",82
"2033",120
"2050",53
"2058",90
"2064",75
"2140",102
"2182",112
"2201",83
"2248",62
"2253",108
"2264",58
"2272",93
"2286",115
"2287",108
"2310",54
"2362",112
"2379",62
"2388",89
"2403",92
"2412",111
"2463",68
"2472",85
"2478",87
"2490",60
"2491",78
"2497",88
"2510",54
"2544",156
"2549",107
"2579",78
"2588",114
"2612",30
"2617",109
"2626",116
"2645",88
"2670",79
"2676",75
"2680",70
"2683",131
"2684",78
"2694",104
"2719",70
"2764",30
"2768",96
"2786",70
"2849",59
"2871",58
"2896",63
"2920",102
"2924",73
"2925",90
"2994",132
"3019",80
"3030",110
"3031",105
"3048",86
"3050",149
"3077",114
"3144",63
"3146",77
"3181",43
"3255",127
"3301",82
"3307",104
"3322",54
"3349",93
"3370",75
"3373",91
"3387",85
"3399",110
"3426",131
"3427",91
"3441",115
"3442",78
"3454",60
"3457",77
"3488",85
"3496",80
"3512",56
"3516",78
"3553",42
"3617",83
"3618",104
"3636",57
"3661",91
"3663",29
"3671",113
"3710",97
"3735",108
"3773",84
"3776",77
"3782",85
"3785",126
"3799",60
"3826",100
"3834",63
"3840",108
"3854",73
"3858",90
"3862",106
"3888",84
"3952",76
"3981",75
"3999",78
"4002",116
"4004",112
"4006",94
"4010",79
"4016",69
"4035",127
"4051",84
"4064",86
"4074",99
"4089",125
"4096",135
"4102",109
"4107",121
"4113",110
"4117",102
"4125",46
"4144",72
"4150",73
"4164",72
"4190",92
"4199",102
"4226",98
"4232",82
"4314",121
"4365",90
"4401",85
"4408",92
"4415",75
"4451",80
"4496",58
"4516",88
"4522",72
"4523",119
"4529",71
"4552",113
"4588",102
"4620",70
"4624",84
"4629",71
"4632",69
"4653",107
"4682",79
"4685",90
"4705",76
"4714",129
"4721",78
"4822",98
"4892",82
"4900",126
"4904",71
"4915",75
"4939",74
"4945",90
"4973",56
"4989",63
"5018",83
"5022",103
"5030",87
"5040",77
"5050",96
"5109",143
"5128",72
"5143",69
"5158",112
"5163",105
"5164",63
"5193",91
"5259",105
"5269",83
"5287",67
"5291",82
"5309",87
"5324",79
"5329",47
"5370",97
"5406",87
"5438",83
"5446",99
"5462",72
"5481",82
"5501",81
"5567",127
"5594",89
"5633",132
"5665",95
"5717",75
"5725",100
"5743",94
"5744",87
"5745",87
"5763",81
"5786",89
"5790",92
"5793",80
"5796",90
"5797",95
"5864",102
"5875",106
"5893",74
"5901",90
"5960",118
"6001",92
"6002",74
"6020",75
"6082",53
"6100",96
"6104",113
"6164",70
"6199",83
"6205",78
"6234",95
"6265",99
"6268",113
"6279",83
"6298",93
"6306",62
"6317",81
"6328",118
"6329",122
"6341",127
"6364",117
"6378",75
"6399",48
"6417",53
"6430",83
"6432",113
"6449",93
"6491",61
"6511",86
"6544",55
"6555",67
"6569",113
"6591",57
"6597",82
"6624",64
"6645",82
"6675",76
"6705",66
"6721",85
"6772",106
"6789",98
"6795",106
"6874",85
"6898",54
"6899",66
"6905",97
"6924",61
"6925",131
"6949",80
"6983",87
"6992",103
"6994",103
"7002",42
"7006",93
"7013",103
"7022",114
"7027",111
"7035",102
"7044",74
"7057",65
"7070",47
"7074",74
"7100",102
"7107",78
"7112",96
"7159",112
"7180",72
"7188",108
"7207",81
"7215",91
"7224",120
"7245",98
"7283",98
"7320",59
"7367",116
"7393",79
"7458",75
"7476",91
"7484",101
"7497",65
"7569",79
"7584",124
"7586",106
"7588",116
"7617",107
"7644",88
"7666",78
"7690",70
"7709",97
"7725",82
"7755",80
"7762",107
"7780",83
"7781",79
"7785",81
"7791",85
"7814",69
"7819",88
"7826",91
"7829",86
"7833",95
"7840",134
"7861",59
"7902",80
"7910",25
"7918",99
"7998",61
"8013",60
"8033",70
"8051",66
"8069",66
"8095",114
